,Forecast,Lower_CI,Upper_CI
2026-07-07,419.0902760491523,386.2446122633032,451.93593983500136
2026-07-08,418.68353254704886,385.8378687611998,451.5291963328979
2026-07-09,418.4401352821161,385.59447149626703,451.2857990679652
2026-07-10,418.29448518993183,385.44882140408276,451.1401489757809
2026-07-13,418.2073274753242,385.3616636894751,451.05299126117325
2026-07-14,418.15517188035193,385.30950809450286,451.000835666201
2026-07-15,418.1239617218576,385.2782979360085,450.96962550770667
2026-07-16,418.10528541313636,385.2596216272873,450.9509491989854
2026-07-17,418.09410942030974,385.24844563446067,450.9397732061588
2026-07-20,418.08742165253267,385.2417578666836,450.93308543838174
2026-07-21,418.08341966017866,385.2377558743296,450.92908344602773
2026-07-22,418.0810248487356,385.2353610628865,450.92668863458465
2026-07-23,418.0795917820676,385.23392799621854,450.9252555679167
2026-07-24,418.0787342280916,385.23307044224254,450.9243980139407
2026-07-27,418.07822106367416,385.2325572778251,450.92388484952323
2026-07-28,418.07791398362247,385.2322501977734,450.92357776947154
2026-07-29,418.07773022544484,385.23206643959577,450.9233940112939
2026-07-30,418.0776202636689,385.23195647781984,450.923284049518
2026-07-31,418.0775544620141,385.23189067616505,450.9232182478632
2026-08-03,418.0775150859879,385.2318513001388,450.92317887183697
2026-08-04,418.07749152318473,385.23182773733566,450.9231553090338
2026-08-05,418.07747742309016,385.2318136372411,450.9231412089392
2026-08-06,418.07746898552585,385.2318051996768,450.9231327713749
2026-08-07,418.07746393644686,385.2318001505978,450.92312772229593
2026-08-10,418.07746091505373,385.23179712920466,450.9231247009028
2026-08-11,418.07745910703755,385.2317953211885,450.9231228928866
2026-08-12,418.077458025112,385.2317942392629,450.92312181096105
2026-08-13,418.07745737768255,385.2317935918335,450.9231211635316
2026-08-14,418.07745699025764,385.2317932044086,450.9231207761067
2026-08-17,418.07745675842074,385.23179297257167,450.9231205442698
2026-08-18,418.0774566196884,385.23179283383934,450.9231204055375
2026-08-19,418.0774565366703,385.2317927508212,450.92312032251937
2026-08-20,418.0774564869919,385.2317927011428,450.92312027284095
2026-08-21,418.0774564572641,385.231792671415,450.92312024311315
2026-08-24,418.0774564394748,385.23179265362575,450.9231202253239
2026-08-25,418.07745642882963,385.23179264298057,450.9231202146787
2026-08-26,418.07745642245953,385.23179263661046,450.9231202083086
2026-08-27,418.0774564186476,385.23179263279854,450.9231202044967
2026-08-28,418.07745641636654,385.2317926305175,450.9231202022156
2026-08-31,418.07745641500156,385.2317926291525,450.92312020085063
2026-09-01,418.0774564141847,385.23179262833565,450.9231202000338
2026-09-02,418.0774564136959,385.23179262784686,450.923120199545
2026-09-03,418.0774564134034,385.23179262755434,450.9231201992525
2026-09-04,418.0774564132284,385.2317926273793,450.92312019907746
2026-09-07,418.0774564131236,385.23179262727456,450.9231201989727
2026-09-08,418.07745641306093,385.23179262721186,450.92312019891
2026-09-09,418.0774564130234,385.23179262717434,450.9231201988725
2026-09-10,418.07745641300096,385.2317926271519,450.92312019885003
2026-09-11,418.07745641298754,385.2317926271385,450.9231201988366
2026-09-14,418.07745641297953,385.23179262713046,450.9231201988286
2026-09-15,418.0774564129747,385.2317926271256,450.92312019882377
